geometry;ID;code_dpt;nom_dpt;nom_reg;num_circ;code_reg
"{""type"":""Polygon"",""coordinates"":[[[-0.610649,44.822474],[-0.729251,44.801549],[-0.758553,44.755294],[-0.837084,44.736773],[-0.77144,44.693034],[-0.672079,44.694818],[-0.590137,44.762703],[-0.603047,44.818477],[-0.610649,44.822474]]]}";33007;33;GIRONDE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;7;75
"{""type"":""Polygon"",""coordinates"":[[[4.888208,46.402982],[5.034967,46.332568],[5.01135,46.304235],[5.068122,46.208969],[5.294456,46.193934],[5.234442,46.145429],[5.286965,45.987002],[5.367077,46.044365],[5.51137,46.26436],[5.457672,46.276848],[5.423534,46.347732],[5.309146,46.410257],[5.310561,46.446775],[5.215064,46.468359],[5.201221,46.507821],[5.054751,46.484281],[4.935599,46.514229],[4.91453,46.480113],[4.888208,46.402982]]]}";1001;1;AIN;AUVERGNE-RHONE-ALPES;1;84
"{""type"":""Polygon"",""coordinates"":[[[5.435634,45.829773],[5.468396,45.875063],[5.366632,45.936365],[5.248536,45.954242],[5.072514,45.966574],[5.001244,45.927726],[4.92773,45.98004],[4.836712,45.973176],[4.748988,46.003757],[4.761121,45.934998],[4.880699,45.897169],[4.900569,45.8576],[4.970375,45.807385],[5.101067,45.813378],[5.191015,45.77195],[5.266895,45.789369],[5.354928,45.882781],[5.435634,45.829773]]]}";1002;1;AIN;AUVERGNE-RHONE-ALPES;2;84
"{""type"":""Polygon"",""coordinates"":[[[5.831226,45.93846],[5.811419,46.078429],[5.956063,46.132089],[6.034514,46.237238],[6.102366,46.284846],[6.168451,46.367459],[6.064008,46.416227],[5.984117,46.362656],[5.909198,46.283945],[5.826262,46.261715],[5.771744,46.237187],[5.714846,46.092874],[5.720833,46.025514],[5.767285,45.924057],[5.755937,45.809497],[5.592636,45.79913],[5.570824,45.753383],[5.578845,45.664644],[5.614911,45.625412],[5.623748,45.613268],[5.687901,45.643964],[5.776366,45.72792],[5.786934,45.823224],[5.831226,45.93846]]]}";1003;1;AIN;AUVERGNE-RHONE-ALPES;3;84
"{""type"":""Polygon"",""coordinates"":[[[4.888208,46.402982],[4.780213,46.176677],[4.748023,46.091357],[4.748988,46.003757],[4.836712,45.973176],[4.92773,45.98004],[5.001244,45.927726],[5.072514,45.966574],[5.248536,45.954242],[5.286965,45.987002],[5.234442,46.145429],[5.294456,46.193934],[5.068122,46.208969],[5.01135,46.304235],[5.034967,46.332568],[4.888208,46.402982]]]}";1004;1;AIN;AUVERGNE-RHONE-ALPES;4;84
"{""type"":""Polygon"",""coordinates"":[[[5.51137,46.26436],[5.367077,46.044365],[5.286965,45.987002],[5.248536,45.954242],[5.366632,45.936365],[5.468396,45.875063],[5.435634,45.829773],[5.422513,45.807127],[5.545542,45.713593],[5.578845,45.664644],[5.570824,45.753383],[5.592636,45.79913],[5.755937,45.809497],[5.767285,45.924057],[5.720833,46.025514],[5.714846,46.092874],[5.771744,46.237187],[5.826262,46.261715],[5.725181,46.260693],[5.714553,46.30807],[5.637458,46.336442],[5.51137,46.26436]]]}";1005;1;AIN;AUVERGNE-RHONE-ALPES;5;84
"{""type"":""Polygon"",""coordinates"":[[[3.320684,49.69935],[3.351245,49.638836],[3.333193,49.592751],[3.415415,49.56135],[3.376467,49.4632],[3.537926,49.501022],[3.621351,49.424854],[3.741087,49.347586],[3.856059,49.368347],[3.92482,49.407725],[4.035496,49.359904],[4.047973,49.405642],[4.040712,49.508535],[4.127022,49.677921],[4.225406,49.727276],[4.209942,49.782047],[3.986866,49.761548],[3.923962,49.67327],[3.847449,49.704523],[3.732542,49.613961],[3.647372,49.759574],[3.556223,49.715206],[3.428503,49.71592],[3.320684,49.69935]]]}";2001;2;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;1;32
"{""type"":""Polygon"",""coordinates"":[[[3.337102,50.017401],[3.22935,50.030189],[3.172707,50.011995],[3.192717,49.977536],[3.087836,49.865693],[3.085933,49.791747],[3.120398,49.705733],[3.202235,49.680465],[3.320684,49.69935],[3.428503,49.71592],[3.379918,49.822254],[3.449173,49.855789],[3.464152,49.916839],[3.365666,49.910849],[3.374724,49.98881],[3.337102,50.017401]]]}";2002;2;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;2;32
"{""type"":""Polygon"",""coordinates"":[[[4.209942,49.782047],[4.255734,49.903977],[4.233068,49.957824],[4.140895,49.97876],[4.084444,49.970658],[3.980144,50.003561],[3.982312,50.044432],[3.949834,50.026885],[3.710359,50.066491],[3.614124,50.025057],[3.541758,50.051975],[3.490106,50.01896],[3.337102,50.017401],[3.374724,49.98881],[3.365666,49.910849],[3.464152,49.916839],[3.449173,49.855789],[3.379918,49.822254],[3.428503,49.71592],[3.556223,49.715206],[3.647372,49.759574],[3.732542,49.613961],[3.847449,49.704523],[3.923962,49.67327],[3.986866,49.761548],[4.209942,49.782047]]]}";2003;2;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;3;32
"{""type"":""Polygon"",""coordinates"":[[[3.376467,49.4632],[3.415415,49.56135],[3.333193,49.592751],[3.351245,49.638836],[3.320684,49.69935],[3.202235,49.680465],[3.120398,49.705733],[3.118652,49.705834],[3.099382,49.656556],[3.13148,49.543378],[3.096325,49.517896],[3.121281,49.49368],[3.094371,49.378531],[3.036335,49.325744],[3.237297,49.324285],[3.399302,49.34767],[3.347654,49.417366],[3.376467,49.4632]]]}";2004;2;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;4;32
